date,user,comment
26:13,Behailu Bayu,አካባቢውን አፅድቶ ወደቀጠናው የተሻገረ ድንቅ መሪ ነው። ሀበሻ ግን ዛሬም ሀገር ውስጥ እየፈለገው ነው።
26:13,Feyisa Nigussie,Enku munee wayyii
26:29,Meles W/Mikael,ጀግና አብይ
26:34,masarat jema,ዬኔ ምሪጥ መሪይ ኑርልኝ $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $washhands $virtualhug $virtualhug $virtualhug
26:41,Kukusha Teshome,ደብሮታል አንድ የሚረባ ጥያቄ የጠየቀ የለም
26:42,eli eli,ሠላሙን ያምጣልን $🙏 $🙏 $🙏 $🙏 $🙏
26:54,Feyisa Nigussie,ati enkuu Sobduu hattuu wayyii miti
26:56,Muna Muna,የጅጄሮ፣ስብስቦች፣ከተጠያቂነት፣አታመልጡም፣የጊዜ፣ጉዳይ፣ነወ፣
27:06,Kukusha Teshome,ስለ ኦነግ ሸኔ ለምን አይጠይቁም
27:11,Murad Amin,His commitment to regional peace and diplomacy showcases Abiy Ahmed's strength in fostering positive international relations
1707199329435308,N/A,placeholder content
27:32,Tekea Ejeta,የማይቻል ይመስል የነበረውን ስንዴን በበጋ መስኖ ማልማት እንደሚቻል በተግባርና በዉጤት አይተናል፡፡ ገና ያልተዳሰሱ ሌሎች በርካታ ፀጋዎች፣ እምቅ አቅሞች ደጆቻችን ላይ በዙሪያችን አሉ፡፡
27:34,African report 2050,like like like like
27:49,Tezera Getahun,የአንድ ብሔር፣ የአንድ ቋንቋ፣ የአንድ ባህል፣ የአንድ ሃይማኖት...የሚትመኙ የ60'ዎቹ ትውልድ የእናንቴን ግዜ ጨርሳችሃል እና ፤ በዝምታ አልያም በሞት ገለል በሉልን..
27:54,Tekea Ejeta,The Prime Minister's commitment to regional integration is promoting economic cooperation and shared prosperity among neighboring nations.
28:14,seifu mulugeta,b
28:18,seifu mulugeta,b m
28:22,African report 2050,dr abiy we support you
28:24,አዲስ ፓራዳይም,አብቹዬ   በርታልን   የኔ   ምርጥ
28:29,The Hope,Doctor Abye is the model of our generation and the upcoming generation. We love our prime Mister Doctor Abyeeee.
28:29,Murad Amin,Abiy Ahmed possesses a remarkable strength in visionary leadership
28:39,dires azene,fetari hagerachenene selam yaderglene........................
28:49,Feyisa Nigussie,"warraa citoo qabuu Enkuu ofii godhii kaa ,saree gotee nama hin arbsii kaa"
28:49,Ethiopian,#report EBC
29:08,Muna Muna,የጅጄሮ፣ስብስብች፣የአማራን፣ህዝብ፣በይፈ፣ፈርማችሁ፣እድጨፈጨፊ፣የወሰናችሁ፣እናተ፣ናችሁ፣ከተጠያቂነት፣አታመልጡም፣ቀናችሁን፣ጠብቁ $☝
29:24,VIVA ETHIO,ፅንፈኞች አቢቹ ሲያወራ በጭብጨባ አድምቁልን እናመሰግናለን $😃 $😃 $😃
29:31,Mohammed Kedir,ሶፊ አለሙ ዝንጀሮና ሠው መለየት አቅቶሽ ነው !
29:35,ድሮና ዘንድሮ,አብይ አህያ ነዉ ዶማ ጭንቅላት
29:37,Hanna Tamrat,በርቱ $👍 $👍 $👍 $👍 $👍
29:48,Melk hailu,ስለ ሸኔ ያን ያህል አሳሳቢ አለመሆኑ ይገርማል
29:59,African report 2050,ethiopia is moving forword let's support pm
30:00,yercawq,አብይ አህመድ ጀግና መሪ
30:10,Hanna Tamrat,You are the best leader  $🙏🏽 $❤ $❤ $❤ $❤ 🇪🇹🇪🇹🇪🇹🇪🇹
30:22,Tesfaye Birhanu,Dermaw has just started.............................
30:41,Saba Abduraman,Abichuu King የፅንፈኞች እራስ ምታት
1707199529975366,N/A,placeholder content
30:55,ድሮና ዘንድሮ,የ ብልግና ተከታይ ሁሉ ቀንሽን ተብቂ
30:57,Hanna Tamrat,$👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏
31:06,Kefale Gerbi,Extremism will be destroyed.
31:07,Muna Muna,የሆዳም፣ሰብስብስ፣
31:14,birtualem abiye,"yihie eyewashe new egna alitedesetnem, yazulign behig etekewalehu."
31:35,Solo Solo,"አብቹይይይይዬ, ኑርልኝ 🇪🇹🇪🇹🇪🇹 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏"
31:39,Kefale Gerbi,Our leader should help to make Ethiopia's prosperity a reality.
31:44,አብይ ይምራ,አብቹ   ጥበብ   የሰለሞን   የሚመስል ትዕግሥት   የኢዮብ   የሚመስል አገዛዝ   የዳዊት   የሚመስል ይህ   የኢትዮጵያ   መሪ   ሎረት   ጠሚ   ነው !! ኢትዮጵያ   ለፈጣሪ   እልል   በይ $😍
31:47,VIVA ETHIO,ጀግናው መሪያችን ሲያወራ እንደመስማት የሚያስደስተኝ ነገር የለም 🇪🇹 $💪
31:55,Hanna Tamrat,መሳደብ   መሸነፍ   ነዉ   $😂 $😂 $😂 $😂 $😂 $😂 $😂
31:55,ድሮና ዘንድሮ,ኧረ ሆድ ሚለዉ እራሱ ለነሱ አይመጥንም
32:01,Feyisa Nigussie,Namni nama arbsuu munee osoo hin ta'ee hadhaa sifu obolleeti kee goote ati sanyii harree wayyii Enkuu jechuu saree jechuudha barii fokkuu wayyii buqqee sammuu kee keessatti batee hin dhibatii abbee
32:09,Kefale Gerbi,"Our country Ethiopia has recorded many positive changes in the social, economic and political fields over the years."
32:12,orange yw tube,እውነት ነው ለምን ስለ ሸኔ አይጠይቁም ሰው መወጫ መግቢያ አጥቶ ያሳዝናል
32:13,African report 2050,we have many problem buy abiy ahmed is our only choice stand with PM
32:31,tadla,አብይ መምራት አይችልም ለዝብ ክብር የለውም የሚያለቅሱት ብዙናቸው የጫካ ፎቅ ምንሊሰራልን
32:35,Muna Muna,እናተ፣በሆዳችሁ፣ሀገርን፣ህዝብን፣የሸጣችሁ፣የታሪክ፣አተላወች፣ከተጠያቂነት፣አታመልጡም፣የጊዜ፣ጉዳይ፣ነወ፣ኢሽ፣አላህ $☝
33:09,Feyisa Nigussie,jecha barreessuun dura yaddi harree wayyii @Enkuu
33:14,ድሮና ዘንድሮ,Hana tamrat ማነው መሳደብ መሽነፍ ነው ያለዉ የ አህያ ተከታይ
33:15,VIVA ETHIO,ፅንፈኞች አእምሮአችሁን በአቢቹ ንግግር ለማጠብ ተዘጋጁ እናመሰግናለን  $😃 $😃 $😃 $😃
33:17,African report 2050,$hand-pink-waving $hand-pink-waving $hand-pink-waving $hand-pink-waving  LIKE
33:22,Nebiro,እግዚአብሔር ሆይ ለሀገራችን ኢትዮጵያ አንተ ድረስላት???
33:35,Kefale Gerbi,Many victories have been registered in our country that should be preserved and sewn up.
33:37,melkamu abdeta,አብቹ አባ መላ ፕሮጀክትን በአጭር ጊዜ ጀምሮ በአጭር ጊዜ ማጠናቀቀቅን በአንተ አየን
33:38,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
33:42,Kukusha Teshome,ስለ ኦነግ ሸኔ ሚጠይቅ አንድ ሰው ይጥፋ
